,name,artist_id,popularity,followers
84,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,79,4871672
85,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,82,23974102
86,Rema,46pWGuE3dSwY3bMMXGBvVS,79,1406086
87,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,84,38538228
88,Kygo,23fqKkggKUBHNkbKtXEls4,79,8200311
89,Harry Styles,6KImCVD70vtIoJWnq6nGn3,89,24457115
90,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,87,17544142
91,Rvssian,1fctva4kpRbg2k3v7kwRuS,70,2088442
92,Sarz,408vMm7y1227ASq7GmWygZ,59,140614
93,Sia,5WUlDfRSoLAfcVSX1WnrxN,83,24909059
94,Maluma,1r4hJ1h58CWwUQe3MxPuau,83,32638105
95,Anitta,7FNnA9vBm6EKceENgCGRMb,78,12390309
96,Grupo Firme,1dKdetem2xEmjgvyymzytS,81,7984351
97,Reik,0vR2qb8m9WHeZ5ByCbimq2,78,7769953
98,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,85,14053962
99,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,71,2605182
100,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,82,22097854
101,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,79,22814272
102,Alesso,4AVFqumd2ogHFlRbKIjp1t,75,3868733
103,Katy Perry,6jJ0s89eD6GaHleKKya26X,84,23572066
104,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,88,18819779
105,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,89,14450535
106,Shakira,0EmeFodog0BfCgMzAIvKQp,86,25608396
107,De La Ghetto,3EiLUeyEcA6fbRPSHkG5kb,80,6417158
108,Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,65,96715
109,Avicii,1vCWHaC5f2uS3yhpwWbIA6,80,22263884
110,Farruko,329e4yvIujISKGKz1BZZbO,83,14310147
111,Myke Towers,7iK8PXO48WeuP03g8YR51W,84,9902763
112,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,80,36094148
113,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,67,1542775
114,Various Artists,1ZwdS5xdxEREPySFridCfh,79,13974503
115,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,72,5220405
116,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,87,16981141
117,Becky G,4obzFoKoKRHIphyHzJ35G3,78,12685906
