const,loudness,tempo,imputed_album_avg_pop_other,danceability_speechiness_feat_3.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_999.0,days_since_log,popularity_meta_album_avg_pop_other
1.0,-4.214,93.985,0,0,0,1,0,1,0,4.02536954771857,4958.0
1.0,-5.3420000000000005,144.977,0,1,0,1,0,1,0,0.0009995003330834232,3420.0
1.0,-3.442,160.046,1,0,0,1,0,1,0,3.7376934275237357,4834.222222222223
1.0,-4.496,124.005,1,0,0,1,0,1,0,3.610944939306028,5488.88888888889
1.0,-7.452000000000001,84.821,1,0,0,1,0,1,0,3.8918407060656484,6063.25
1.0,-8.735,99.945,0,0,0,1,0,1,0,3.5553766325098297,4574.666666666666
1.0,-6.73,124.986,0,0,0,1,0,1,0,3.5553766325098297,4915.333333333333
1.0,-5.4460000000000015,168.053,0,0,0,1,0,1,0,3.5553766325098297,4964.0
1.0,-5.807,99.991,0,0,0,1,0,1,0,3.5553766325098297,4964.0
1.0,-7.5070000000000014,97.254,1,1,0,1,0,1,0,3.5835467158480925,5928.0
1.0,-5.364,179.785,1,1,0,1,0,1,0,-6.907755278982137,4704.444444444444
1.0,-3.782,96.045,1,1,0,1,0,1,0,2.639128755635788,5475.0
1.0,-5.721,105.039,1,1,0,1,0,1,0,3.784212360932728,5265.0
1.0,-6.353,91.025,1,0,0,1,0,1,0,3.367330312150578,4235.0
1.0,-4.964,124.991,1,0,0,1,0,1,0,0.0009995003330834232,4322.5
1.0,-6.5379999999999985,130.04,0,0,0,1,0,1,0,3.5553766325098297,6552.0
1.0,-3.837,179.979,0,0,0,1,0,1,0,3.5553766325098297,7140.0
1.0,-6.2970000000000015,170.136,1,1,0,1,0,1,0,3.9120430052281487,5648.5
1.0,-1.914,121.0,1,1,0,1,0,1,0,3.0445700556372914,5012.666666666667
1.0,-7.041,99.891,0,0,0,1,0,1,0,2.639128755635788,4834.666666666666
1.0,-8.642999999999999,83.87700000000002,0,0,0,1,0,1,0,2.639128755635788,4588.0
1.0,-6.371,84.005,0,0,0,1,0,1,0,2.639128755635788,4859.333333333334
1.0,-5.078,108.053,0,0,0,1,0,1,0,2.639128755635788,4736.0
1.0,-8.631,163.847,1,0,0,1,0,1,0,3.8918407060656484,5725.333333333333
1.0,-3.959,83.49,1,1,0,1,0,0,0,2.7726512202867375,3802.5
1.0,-4.921,85.024,0,0,1,0,1,0,1,2.639128755635788,4588.5
1.0,-5.585,130.013,1,1,0,1,0,1,0,2.639128755635788,5183.0
1.0,-2.39,75.993,1,0,0,1,0,1,0,4.043068811540308,5150.4
1.0,-3.625,103.935,1,0,0,1,0,1,0,2.639128755635788,5268.8
1.0,-5.569,149.94299999999996,0,1,0,1,0,1,0,3.6376124751696053,5680.0
1.0,-6.119,117.988,1,0,0,1,0,1,0,4.02536954771857,4933.333333333333
1.0,-10.9,124.053,1,0,0,1,0,1,0,3.3322402238231783,4950.0
1.0,-5.001,129.786,1,1,0,1,0,1,0,1.9460529959950605,6039.111111111111
1.0,-5.973,120.03,1,0,0,1,0,1,0,3.52638993594835,5370.666666666667
1.0,-6.27,109.001,1,1,0,1,0,1,0,2.7726512202867375,6006.0
1.0,-6.942,135.009,0,1,0,1,0,1,0,2.639128755635788,5791.5
1.0,-4.205,99.982,0,1,0,1,0,1,0,3.3322402238231783,3672.0
1.0,-4.195,165.983,0,1,0,1,0,1,0,3.3322402238231783,3384.0
1.0,-5.5539999999999985,105.957,1,0,0,1,0,1,0,4.02536954771857,4488.75
1.0,-5.662000000000001,105.98,1,0,0,1,0,1,0,2.639128755635788,4628.75
1.0,-7.415,174.08900000000003,1,1,0,1,0,1,0,2.639128755635788,5793.333333333333
1.0,-5.647,122.019,1,1,0,1,0,1,0,3.8918407060656484,4519.5
1.0,-6.331,122.895,1,0,0,1,0,1,0,3.0445700556372914,4653.75
1.0,-6.303,81.55199999999998,1,0,0,1,0,1,0,3.784212360932728,5749.714285714285
1.0,-7.525,119.985,1,0,1,0,1,0,1,3.0445700556372914,4488.0
1.0,-7.1179999999999986,132.899,1,0,0,1,0,1,0,3.3322402238231783,5247.0
1.0,-2.661,100.006,0,0,0,1,0,1,0,1.9460529959950605,6102.0
1.0,-5.718,140.209,0,0,0,1,0,1,0,1.9460529959950605,6237.0
1.0,-3.117,142.06799999999996,0,0,0,1,0,1,0,1.9460529959950605,6291.0
1.0,-3.343,137.97,1,1,0,1,0,1,0,3.178095496146581,5279.833333333333
1.0,-2.797,96.005,0,0,0,1,0,1,0,1.9460529959950605,6318.0
1.0,-5.501,94.999,0,1,0,1,0,1,0,3.4012307144399454,7137.8
1.0,-2.946,180.108,0,1,0,1,0,1,0,3.4012307144399454,7084.4
1.0,-4.867,170.082,0,1,0,1,0,1,0,3.4012307144399454,7209.0
1.0,-3.559,171.97299999999996,0,1,0,1,0,1,0,3.4012307144399454,7262.4
1.0,-3.378,163.893,0,1,0,1,0,1,0,3.4012307144399454,7244.6
1.0,-3.4410000000000003,92.03,0,1,0,1,0,1,0,3.4012307144399454,7226.8
1.0,-14.888,91.386,0,0,0,1,0,0,0,2.639128755635788,3994.222222222222
1.0,-20.459,84.34200000000001,0,0,0,1,0,0,0,2.639128755635788,3994.222222222222
1.0,-16.026,152.701,0,0,0,1,0,0,0,2.639128755635788,3994.222222222222
1.0,-19.407,138.895,0,0,0,1,0,0,0,2.639128755635788,3994.222222222222
1.0,-15.451,84.835,0,0,0,1,0,0,0,2.639128755635788,3994.222222222222
1.0,-16.362000000000002,80.885,0,0,0,1,0,0,0,2.639128755635788,3994.222222222222
1.0,-13.569,65.324,0,0,0,1,0,0,0,2.639128755635788,4002.6666666666665
1.0,-16.47,87.745,0,0,0,1,0,0,0,2.639128755635788,4002.6666666666665
1.0,-19.377,97.61,0,0,0,1,0,0,0,2.639128755635788,4002.6666666666665
1.0,-13.885,74.293,0,0,0,1,0,0,0,2.639128755635788,4002.6666666666665
1.0,-3.139,166.03099999999995,1,0,0,1,0,1,0,2.639128755635788,4938.444444444444
1.0,-7.298999999999999,125.014,1,1,0,1,0,1,0,3.610944939306028,4846.875
1.0,-8.507,147.97899999999996,1,0,0,1,0,1,0,3.5553766325098297,4757.0
1.0,-2.049,125.003,1,0,0,1,0,1,0,3.7376934275237357,5183.0
1.0,-7.015,179.49,1,0,1,0,1,0,1,3.8918407060656484,5467.0
1.0,-4.455,129.028,1,0,1,0,1,0,1,4.02536954771857,5659.5
1.0,-7.8039999999999985,146.984,0,0,1,0,1,0,1,2.639128755635788,4519.5
1.0,-4.516,154.858,1,0,0,1,0,1,0,3.3322402238231783,4737.599999999999
1.0,-6.247000000000001,122.036,1,0,0,1,0,1,0,3.7376934275237357,5911.833333333333
1.0,-6.695,102.997,1,0,0,1,0,1,0,4.02536954771857,4677.125
1.0,-3.854,176.13099999999997,1,0,1,0,1,0,1,3.5835467158480925,6642.0
1.0,-5.4620000000000015,105.992,1,0,1,0,1,0,1,3.9120430052281487,4745.0
1.0,-4.297,127.978,0,0,0,1,0,1,0,1.9460529959950605,5340.0
1.0,-6.872000000000001,134.946,0,0,0,1,0,1,0,1.9460529959950605,5380.0
1.0,-6.824,129.003,0,0,0,1,0,1,0,1.9460529959950605,5220.0
1.0,-6.449,119.964,0,0,0,1,0,1,0,3.8918407060656484,5990.4
1.0,-6.502000000000002,192.189,0,0,0,1,0,1,0,3.5835467158480925,5200.0
1.0,-7.7120000000000015,108.035,0,0,0,1,0,1,0,3.5835467158480925,5250.0
1.0,-7.149,102.982,0,0,0,1,0,1,0,3.5835467158480925,5212.5
1.0,-7.841,106.011,0,0,0,1,0,1,0,3.5835467158480925,5300.0
1.0,-6.807,144.032,0,0,0,1,0,1,0,3.5835467158480925,5287.5
1.0,-6.006,136.034,1,0,0,1,0,1,0,3.0445700556372914,4338.375
1.0,-6.789,120.99,1,1,0,1,0,1,0,3.8918407060656484,5175.0
1.0,-3.596,92.02,1,0,1,0,1,0,1,3.5553766325098297,6230.0
1.0,-8.772,77.248,0,0,0,1,0,1,0,3.8918407060656484,4968.0
1.0,-6.1960000000000015,122.969,1,0,0,1,0,1,0,1.9460529959950605,4831.142857142858
1.0,-4.527,124.027,1,0,0,1,0,1,0,3.3322402238231783,4841.714285714286
1.0,-7.502000000000002,122.916,1,0,0,1,0,1,0,3.0445700556372914,5797.714285714286
1.0,-7.704,119.982,1,0,1,0,1,0,1,4.02536954771857,6237.0
1.0,-8.5,150.024,1,0,0,1,0,1,0,1.09894556645823,5159.0
1.0,-7.04,119.941,0,0,0,1,0,1,0,3.3322402238231783,4331.0
1.0,-8.706,117.991,0,0,0,1,0,1,0,3.3322402238231783,4473.0
1.0,-7.985,180.112,0,0,0,1,0,1,0,3.5835467158480925,5287.5
1.0,-7.574,136.026,0,0,0,1,0,1,0,3.5835467158480925,5287.5
1.0,-2.134,109.992,1,0,0,1,0,1,0,3.8918407060656484,4637.5
1.0,-2.955,113.28,1,1,0,1,0,1,0,3.367330312150578,5957.875
1.0,-8.308,75.24600000000002,0,0,1,0,1,0,1,2.639128755635788,4623.0
1.0,-3.671,142.128,1,0,1,0,1,0,1,3.0445700556372914,4964.0
1.0,-5.041,160.18200000000004,1,1,0,1,0,1,0,2.1973356822749484,4920.200000000001
1.0,-2.046,120.08,0,1,0,1,0,1,0,1.9460529959950605,5254.0
1.0,-8.0,67.892,0,1,0,1,0,1,0,1.9460529959950605,4440.0
1.0,-14.194,78.979,0,0,0,1,0,0,0,3.5553766325098297,3900.0
1.0,-14.259,66.435,0,0,0,1,0,0,0,3.5553766325098297,3918.75
1.0,-15.572,105.03,0,0,0,1,0,0,0,3.5553766325098297,3918.75
1.0,-15.021,128.39,0,0,0,1,0,0,0,3.5553766325098297,3918.75
1.0,-14.911,42.74100000000001,0,0,0,1,0,0,0,3.5553766325098297,3918.75
