,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0
2435,140011,69,0.8,0.158,0.66,0.02,0.14,-4.9030000000000005,0.158,117.923,644,73.0,3288765.0,6,1,70.6,70.6,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2436,191293,69,0.674,0.0282,0.915,0.00337,0.273,-3.999,0.0411,126.038,1855,73.0,3288765.0,6,1,70.6,70.6,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2437,235453,53,0.6990000000000001,0.118,0.784,0.0,0.0529,-5.7010000000000005,0.0538,121.98,91,69.0,1706733.0,6,2,64.8,55.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2440,139435,65,0.887,0.0176,0.863,0.0594,0.28800000000000003,-4.2,0.0697,120.028,154,73.0,3288765.0,6,1,71.4,71.4,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2441,165858,64,0.6759999999999999,0.0162,0.731,0.0,0.126,-5.325,0.0948,123.993,308,73.0,3288765.0,6,1,71.6,71.6,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
2442,174560,78,0.738,0.695,0.455,0.0,0.107,-8.735,0.0352,99.945,35,73.0,4455049.0,8,4,69.14285714285714,62.666666666666664,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2443,191406,76,0.727,0.0469,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,826,73.0,4455049.0,8,1,69.42857142857143,69.42857142857143,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2444,181823,74,0.659,0.0644,0.625,0.0,0.5820000000000001,-2.253,0.045,88.042,1211,82.0,34549823.0,11,1,79.1,79.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2445,179506,74,0.677,0.263,0.556,0.0,0.105,-6.544,0.0306,80.006,1834,73.0,4455049.0,8,1,69.71428571428571,69.71428571428571,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2446,188253,73,0.612,0.00898,0.799,0.0,0.172,-4.603,0.0275,125.976,2142,73.0,4455049.0,8,1,69.85714285714286,69.85714285714286,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
