name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat
Till I Collapse,The Eminem Show,Eminem,2002-05-26,297786,86,0.5479999999999999,0.0622,0.847,0.0,0.0816,-3.237,0.18600000000000003,171.447,4,7446,2.0,2.0,2.0,2.0,2.0
Superman,The Eminem Show,Eminem,2002-05-26,350320,86,0.802,0.0215,0.755,0.0,0.295,-3.138,0.0564,130.02700000000002,4,7446,2.0,2.0,2.0,2.0,2.0
Stan,The Marshall Mathers LP,Eminem,2000-05-23,404106,85,0.78,0.0371,0.768,2.34e-06,0.518,-4.325,0.23800000000000002,80.063,4,8179,2.0,2.0,2.0,2.0,2.0
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,84,0.8079999999999999,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4,1001,2.0,2.0,2.0,2.0,2.0
Love The Way You Lie,Recovery,Eminem,2010-06-18,263373,84,0.7490000000000001,0.24100000000000002,0.925,0.0,0.52,-5.034,0.22699999999999998,86.98899999999999,4,4501,2.0,2.0,2.0,2.0,2.0
Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,81,0.637,0.209,0.6779999999999999,0.0,0.156,-3.798,0.266,84.039,4,6545,2.0,2.0,2.0,2.0,2.0
Not Afraid,Recovery,Eminem,2010-06-18,248133,81,0.855,0.529,0.9540000000000001,0.0,0.205,-1.19,0.264,114.635,5,4501,2.0,2.0,2.0,2.0,2.0
"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits (Deluxe Edition),Eminem,2005-12-06,326466,78,0.6920000000000001,0.00868,0.7440000000000001,0.00042300000000000004,0.359,-4.565,0.257,171.37400000000002,4,6156,2.0,2.0,2.0,2.0,2.0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,192840,92,0.733,0.121,0.67,0.0,0.121,-6.0089999999999995,0.0751,100.964,4,133,3.0,3.0,3.0,2.0,2.0
Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,88,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,1134,3.0,3.0,3.0,2.0,2.0
rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,85,0.585,0.124,0.52,7.01e-05,0.131,-6.136,0.0712,159.80100000000002,4,1631,3.0,3.0,3.0,2.0,2.0
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,81,0.755,0.5329999999999999,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,1134,3.0,3.0,3.0,2.0,2.0
Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,83,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,4,2135,3.0,3.0,3.0,2.0,2.0
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,82,0.68,0.331,0.578,0.0,0.135,-5.803999999999999,0.04,145.03799999999998,4,1631,3.0,3.0,3.0,2.0,2.0
Wow.,Hollywood's Bleeding,Post Malone,2019-09-06,149546,82,0.8290000000000001,0.136,0.539,1.78e-06,0.10300000000000001,-7.359,0.20800000000000002,99.96,4,1134,3.0,3.0,3.0,2.0,2.0
Goodbyes (feat. Young Thug),Hollywood's Bleeding,Post Malone,2019-09-06,174853,81,0.5479999999999999,0.456,0.653,0.0,0.10300000000000001,-3.875,0.081,150.06799999999998,4,1134,3.0,3.0,3.0,2.0,2.0
One Right Now (with The Weeknd),Twelve Carat Toothache,Post Malone,2022-06-03,192721,74,0.682,0.0363,0.764,0.0,0.10300000000000001,-5.4110000000000005,0.0477,97.023,4,133,3.0,3.0,3.0,2.0,2.0
I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,0.556,0.0689,0.5379999999999999,0.0,0.196,-5.4079999999999995,0.0382,143.95,4,2135,3.0,3.0,3.0,2.0,2.0
Left and Right (Feat. Jung Kook of BTS),CHARLIE,Charlie Puth,2022-10-06,154486,73,0.8809999999999999,0.619,0.5920000000000001,1.32e-05,0.0901,-4.898,0.0324,101.05799999999999,4,8,3.0,3.0,3.0,2.0,2.0
Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),benny blanco,2022-08-05,172714,88,0.762,0.0185,0.861,0.0,0.264,-3.2960000000000003,0.0955,120.04799999999999,4,70,2.0,2.0,2.0,2.0,2.0
Dynamite,BE,BTS,2020-11-20,199053,86,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,693,3.0,3.0,3.0,2.0,2.0
Yet To Come,Proof,BTS,2022-06-10,193593,85,0.5589999999999999,0.0432,0.885,0.0,0.33299999999999996,-4.515,0.18899999999999997,172.02900000000002,4,126,3.0,3.0,3.0,2.0,2.0
My Universe,Music Of The Spheres,Coldplay,2021-10-15,226198,82,0.573,0.0114,0.711,0.0,0.32799999999999996,-6.268,0.0406,105.006,4,364,2.0,2.0,2.0,2.0,2.0
Butter,Proof,BTS,2022-06-10,164952,84,0.759,0.00323,0.45899999999999996,0.0,0.0788,-5.187,0.0948,109.99700000000001,4,126,3.0,3.0,3.0,2.0,2.0
