,name,album,artist,release_date,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat,Unnamed: 0,artist_id,popularity_meta,followers,popularity_sum,popularity_count,popularity_sum_album,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other
32,Starboy,Starboy,The Weeknd,2016-11-25,230453,90,0.679,0.141,0.5870000000000001,6.35e-06,0.13699999999999998,-7.015,0.276,186.003,4,2149,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,177,2,88.28571428571429,87.0,0
33,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,3,1659,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,181,2,88.28571428571429,91.0,0
34,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,90,0.68,0.0212,0.826,1.24e-05,0.5429999999999999,-5.487,0.0309,118.051,4,938,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,181,2,88.28571428571429,91.0,0
35,Die For You,Starboy,The Weeknd,2016-11-24,260253,87,0.586,0.111,0.525,0.0,0.134,-7.1629999999999985,0.0615,133.629,4,2150,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,177,2,88.71428571428571,90.0,0
36,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,88,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,4,2604,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,88,1,88.57142857142857,88.57142857142857,1
38,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),The Weeknd,2020-03-20,191013,81,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4,938,3.0,3.0,3.0,2.0,2.0,7.0,1Xyo4u8uXC1ZmMpatF05PJ,93.0,52885058.0,708,8,81,1,89.57142857142857,89.57142857142857,1
39,You Right,Planet Her,Doja Cat,2021-06-25,186173,84,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4,476,3.0,3.0,3.0,2.0,2.0,9.0,5cj0lLjcoR7YOSnhnX0Po5,86.0,23023983.0,828,10,502,6,82.66666666666667,83.6,0
40,Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.7189999999999985,0.0386,135.917,4,1799,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,89,1,80.64285714285714,80.64285714285714,1
41,august,folklore,Taylor Swift,2020-07-24,261922,87,0.532,0.5379999999999999,0.623,7.28e-05,0.0925,-9.208,0.0331,89.93700000000003,4,812,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,251,3,80.78571428571429,82.0,0
42,Blank Space,1989,Taylor Swift,2014-10-27,231826,77,0.753,0.085,0.6779999999999999,1.64e-06,0.13,-5.421,0.0644,96.006,4,2909,1.0,2.0,2.0,2.0,2.0,10.0,06HL4z0CvFAxyc27GXpf02,100.0,62572904.0,1218,15,77,1,81.5,81.5,1
