,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0,days_since_log,acousticness_loudness,instrumentalness_loudness,instrumentalness_acousticness,followers_root
56,200786,82,0.654,0.0797,0.76,0.0,0.299,-3.669,0.045,99.945,2527,89.0,67640519.0,9,3,80.75,82.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.834788503114273,0.005920561515859861,0.0,0.0,8224.385630550163
57,219946,75,0.7979999999999999,0.0902,0.6759999999999999,0.0,0.0894,-5.041,0.0442,101.956,1190,89.0,105322954.0,13,3,76.91666666666667,70.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7.081709426441356,0.003549548729184818,0.0,0.0,10262.697208823809
58,205680,79,0.845,0.59,0.5670000000000001,0.0014199999999999998,0.0811,-8.118,0.0956,125.02,2527,89.0,67640519.0,9,3,81.125,83.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.834788503114273,0.008952697648099013,2.1547170610678978e-05,0.0008377999999999999,8224.385630550163
59,170813,79,0.6579999999999999,0.0104,0.634,0.0,0.12,-6.068,0.0431,140.002,574,89.0,67640519.0,9,5,81.125,80.25,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.352631138478327,0.0002824504006233029,0.0,0.0,8224.385630550163
60,172324,85,0.737,0.468,0.802,0.0,0.0931,-4.771,0.0878,144.015,714,88.0,85056061.0,8,2,82.28571428571429,81.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.570884362898828,0.02056018508735509,0.0,0.0,9222.584290750614
61,178626,85,0.778,0.5920000000000001,0.317,0.0,0.0881,-10.732,0.334,140.048,1344,88.0,85056061.0,8,2,82.28571428571429,83.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.203406265130437,0.005139967568193826,0.0,0.0,9222.584290750614
62,197266,83,0.628,0.093,0.593,1.65e-06,0.096,-5.0360000000000005,0.0323,125.026,2972,88.0,85056061.0,8,1,82.57142857142857,82.57142857142857,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.996990742311349,0.0036670050300268557,6.50597666617668e-08,1.5345000000000001e-07,9222.584290750614
63,207320,83,0.7170000000000001,0.229,0.653,0.0,0.101,-5.634,0.0658,106.966,1344,88.0,85056061.0,8,2,82.57142857142857,85.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.203406265130437,0.007214426231326134,0.0,0.0,9222.584290750614
64,173710,81,0.83,0.237,0.585,0.0,0.248,-6.476,0.094,109.978,714,88.0,85056061.0,8,2,82.85714285714286,85.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.570884362898828,0.005651121773900955,0.0,0.0,9222.584290750614
65,197546,80,0.602,0.0233,0.6579999999999999,6e-05,0.237,-5.934,0.0558,145.031,1519,88.0,85056061.0,8,1,83.0,83.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.325808160923404,0.0006616995466023348,1.7039473303064413e-06,1.3980000000000002e-06,9222.584290750614
66,186106,80,0.4,0.119,0.795,0.0,0.159,-3.731,0.461,190.097,1169,88.0,85056061.0,8,1,83.0,83.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.063904816903696,0.008548628875357471,0.0,0.0,9222.584290750614
67,199386,80,0.706,0.26,0.7859999999999999,0.0,0.38,-3.417,0.091,150.028,2922,71.0,10554546.0,9,2,59.75,62.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.980023934541935,0.02226811166156171,0.0,0.0,3248.7760772327783
68,290320,89,0.908,0.00286,0.669,0.0,0.237,-2.827,0.0738,112.238,7446,90.0,61957032.0,13,3,80.5,86.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.915432388732949,0.00035786103705375764,0.0,0.0,7871.278930389902
69,284200,88,0.949,0.0302,0.6609999999999999,0.0,0.0454,-4.244,0.0572,104.504,8179,90.0,61957032.0,13,2,80.58333333333333,85.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,9.009325294999302,0.0016767031973286455,0.0,0.0,7871.278930389902
70,297786,86,0.5479999999999999,0.0622,0.847,0.0,0.0816,-3.237,0.18600000000000005,171.447,7446,90.0,61957032.0,13,3,80.75,87.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.915432388732949,0.005936151631072184,0.0,0.0,7871.278930389902
71,350320,86,0.802,0.0215,0.755,0.0,0.295,-3.138,0.0564,130.02700000000002,7446,90.0,61957032.0,13,3,80.75,87.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.915432388732949,0.002183396357323071,0.0,0.0,7871.278930389902
72,404106,85,0.78,0.0371,0.768,2.34e-06,0.518,-4.325,0.238,80.063,8179,90.0,61957032.0,13,2,80.83333333333333,88.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,9.009325294999302,0.001983360620134318,1.2509606067693542e-07,8.6814e-08,7871.278930389902
73,210800,84,0.8079999999999999,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,1001,90.0,61957032.0,13,1,80.91666666666667,80.91666666666667,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.9087557783157205,0.005240787057786003,0.0,0.0,7871.278930389902
74,263373,84,0.7490000000000001,0.241,0.925,0.0,0.52,-5.034,0.227,86.98899999999998,4501,90.0,61957032.0,13,2,80.91666666666667,81.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.412055095465758,0.009510221238525978,0.0,0.0,7871.278930389902
75,250760,81,0.637,0.209,0.6779999999999999,0.0,0.156,-3.798,0.266,84.039,6545,90.0,61957032.0,13,1,81.16666666666667,81.16666666666667,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.786456831132377,0.014488931704028698,0.0,0.0,7871.278930389902
76,248133,81,0.855,0.529,0.954,0.0,0.205,-1.19,0.264,114.635,4501,90.0,61957032.0,13,2,81.16666666666667,84.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.412055095465758,0.373561189181555,0.0,0.0,7871.278930389902
77,326466,78,0.6920000000000001,0.00868,0.7440000000000001,0.000423,0.359,-4.565,0.257,171.37400000000005,6156,90.0,61957032.0,13,1,81.41666666666667,81.41666666666667,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8.725182657401902,0.0004165222075197134,2.0298259652170364e-05,3.67164e-06,7871.278930389902
