name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,track_id,genres
Bones,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,165264,85,0.772,0.0201,0.75,0.0,0.074,-3.67,0.0455,114.061,4,0HqZX76SFLDz2aW8aiqi7G,"['modern rock', 'rock']"
Believer,Evolve,Imagine Dragons,2017-06-23,204346,89,0.776,0.0622,0.78,0.0,0.081,-4.374,0.128,124.949,4,0pqnGHJpmpxLKifKRmU6WP,"['modern rock', 'rock']"
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,173381,82,0.728,0.237,0.783,0.0,0.434,-4.424,0.266,77.011,4,1r9xUipOqoNwggBpENDsvJ,"['modern rock', 'rock']"
Thunder,Evolve,Imagine Dragons,2017-06-23,187146,85,0.605,0.00671,0.822,0.134,0.147,-4.833,0.0438,167.997,4,1zB4vmk8tFRmM9UULNzbLB,"['modern rock', 'rock']"
Demons,Night Visions,Imagine Dragons,2012-09-04,175200,76,0.505,0.19,0.71,0.00025,0.329,-3.015,0.0321,89.938,4,3LlAyCYU26dvFZBDUIMb7a,"['modern rock', 'rock']"
Natural,Origins (Deluxe),Imagine Dragons,2018-11-09,189466,83,0.704,0.217,0.611,0.0,0.0812,-6.112,0.0409,100.0,4,2FY7b99s15jUprqC0M5NCT,"['modern rock', 'rock']"
Sharks,Mercury - Acts 1 & 2,Imagine Dragons,2022-07-01,190883,75,0.927,0.00791,0.642,3.62e-05,0.279,-4.466,0.0657,123.969,4,0TyUOnU4H4GLqOcrH0auc8,"['modern rock', 'rock']"
Whatever It Takes,Evolve,Imagine Dragons,2017-06-23,201240,82,0.672,0.0362,0.655,0.0,0.117,-5.021,0.0311,134.945,4,6Qn5zhYkTa37e91HC1D7lb,"['modern rock', 'rock']"
Bad Liar,Origins (Deluxe),Imagine Dragons,2018-11-09,260773,81,0.383,0.0722,0.637,0.0,0.368,-6.993,0.0703,177.913,4,2RSHsoi04658QL5xgQVov3,"['modern rock', 'rock']"
Enemy - From the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,2021-10-27,173381,81,0.722,0.247,0.745,0.0,0.419,-4.164,0.256,77.029,4,5UlnuulVAVmmesw4VzqHdG,"['modern rock', 'rock']"
Revenge,17,XXXTENTACION,2017-08-25,120026,87,0.746,0.782,0.251,0.00203,0.106,-16.169,0.259,139.999,4,5TXDeTFVRVY7Cvt0Dw4vWW,"['emo rap', 'miami hip hop']"
Hope,?,XXXTENTACION,2018-03-16,110886,86,0.592,0.661,0.457,0.000331,0.146,-6.081,0.0603,146.04,4,2ZRo7axmMPeSVUvDbGkJah,"['emo rap', 'miami hip hop']"
Everybody Dies In Their Nightmares,17,XXXTENTACION,2017-08-25,95466,85,0.734,0.847,0.57,2.14e-05,0.112,-7.066,0.133,129.953,4,3GVkPk8mqxz0itaAriG1L7,"['emo rap', 'miami hip hop']"
Jocelyn Flores,17,XXXTENTACION,2017-08-25,119133,85,0.872,0.469,0.391,4.13e-06,0.297,-9.144,0.242,134.021,4,7m9OqQk4RVRkw9JJdeAw96,"['emo rap', 'miami hip hop']"
SAD!,?,XXXTENTACION,2018-03-16,166605,84,0.74,0.258,0.613,0.00372,0.123,-4.88,0.145,75.023,4,3ee8Jmje8o58CHK66QrVC2,"['emo rap', 'miami hip hop']"
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,146520,83,0.797,0.0172,0.533,0.000152,0.103,-9.74,0.0412,131.036,4,7AQim7LbvFVZJE3O8TYgf2,"['emo rap', 'miami hip hop']"
Moonlight,?,XXXTENTACION,2018-03-16,135090,83,0.921,0.556,0.537,0.00404,0.102,-5.723,0.0804,128.009,4,0JP9xo3adEtGSdUEISiszL,"['emo rap', 'miami hip hop']"
Look At Me!,Look At Me!,XXXTENTACION,2017-02-20,126345,82,0.763,0.259,0.726,0.0,0.0976,-6.405,0.282,139.059,4,7floNISpH8VF4z4459Qo18,"['emo rap', 'miami hip hop']"
Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2",Lil Peep,2018-11-09,196400,81,0.669,0.0175,0.574,0.00294,0.146,-6.442,0.0286,120.013,4,4jvjzW7Hm0yK4LvvE0Paz9,"['emo rap', 'lgbtq+ hip hop']"
Diles,Diles,Bad Bunny,2016-08-26,286040,83,0.813,0.108,0.56,0.0,0.268,-5.904,0.0618,118.033,4,6C1RD7YQVvt3YQj0CmuTeu,"['reggaeton', 'trap latino']"
Nos Comemos (feat. Ozuna),Nos Comemos (feat. Ozuna),Tiago PZK,2022-06-02,191086,83,0.827,0.1,0.819,0.0,0.089,-3.701,0.052,92.017,4,6ojZtz3sZr6ynvejLOqgCj,"['trap argentino', 'trap latino']"
Solita,Solita,Ozuna,2018-01-19,311726,78,0.807,0.0564,0.633,0.0,0.107,-6.016,0.0929,138.038,4,7rwX0O3RlxqqIjQM8evm5E,"['puerto rican pop', 'reggaeton', 'trap latino']"
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,2021-10-22,225600,77,0.8,0.00406,0.837,0.00313,0.0904,-2.807,0.0491,100.015,4,6IPNp9PfaEqrzotY47TIWy,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,212500,77,0.842,0.157,0.801,4.82e-06,0.0642,-4.167,0.228,95.881,4,4w8niZpiMy6qz1mntFA5uM,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,2019-08-22,270740,77,0.734,0.017,0.836,1.64e-05,0.179,-4.803,0.0735,80.002,4,3jbT1Y5MoPwEIpZndDDwVq,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino']"
